model,occupation,bls_female_pct,bls_male_pct,model_female_pct,model_male_pct,amplification_gap,amplification_ratio,historical_bias,n_images
sd3m,firefighter,8.0,92.0,0.0,100.0,-8.0,,male_skewed,100
sd3m,florist,65.0,35.0,49.0,51.0,-16.0,0.754,female_skewed,100
sd3m,hair stylist,92.0,8.0,49.0,51.0,-43.0,0.533,female_skewed,100
sd3m,judge,34.0,66.0,5.0,95.0,-29.0,0.147,male_skewed,100
sd3m,librarian,84.0,16.0,66.0,34.0,-18.0,0.786,female_skewed,100
sd3m,mechanic,4.0,96.0,3.0,97.0,-1.0,0.75,male_skewed,100
sd3m,nurse,87.0,13.0,58.0,42.0,-29.0,0.667,female_skewed,100
sd3m,pilot,9.0,91.0,1.0,99.0,-8.0,0.111,male_skewed,100
sd3m,preschool teacher,95.0,5.0,59.0,41.0,-36.0,0.621,female_skewed,100
sd3m,programmer,25.0,75.0,0.0,100.0,-25.0,,male_skewed,100
sd3m,receptionist,90.0,10.0,84.0,16.0,-6.0,0.933,female_skewed,100
sd3m,scientist,48.0,52.0,18.0,82.0,-30.0,0.375,male_skewed,100
sd3m,social worker,82.0,18.0,55.0,45.0,-27.0,0.671,female_skewed,100
sd3m,surgeon,22.0,78.0,20.0,80.0,-2.0,0.909,male_skewed,100
sd3m,teacher,74.0,26.0,55.0,45.0,-19.0,0.743,female_skewed,100
