model,occupation,dominant_race,count,total,pct
sd21,cleaner,asian,9,100,9.0
sd21,cleaner,black,14,100,14.0
sd21,cleaner,indian,3,100,3.0
sd21,cleaner,latino hispanic,7,100,7.0
sd21,cleaner,middle eastern,11,100,11.0
sd21,cleaner,white,56,100,56.0
sd21,construction worker,asian,17,100,17.0
sd21,construction worker,black,7,100,7.0
sd21,construction worker,latino hispanic,6,100,6.0
sd21,construction worker,middle eastern,23,100,23.0
sd21,construction worker,white,47,100,47.0
sd21,engineer,asian,23,100,23.0
sd21,engineer,black,3,100,3.0
sd21,engineer,latino hispanic,7,100,7.0
sd21,engineer,middle eastern,17,100,17.0
sd21,engineer,white,50,100,50.0
sd21,firefighter,asian,9,100,9.0
sd21,firefighter,black,32,100,32.0
sd21,firefighter,latino hispanic,5,100,5.0
sd21,firefighter,middle eastern,4,100,4.0
sd21,firefighter,white,50,100,50.0
sd21,florist,asian,19,100,19.0
sd21,florist,black,5,100,5.0
sd21,florist,indian,2,100,2.0
sd21,florist,latino hispanic,4,100,4.0
sd21,florist,middle eastern,5,100,5.0
sd21,florist,white,65,100,65.0
sd21,hair stylist,asian,16,100,16.0
sd21,hair stylist,black,9,100,9.0
sd21,hair stylist,indian,1,100,1.0
sd21,hair stylist,latino hispanic,4,100,4.0
sd21,hair stylist,middle eastern,10,100,10.0
sd21,hair stylist,white,60,100,60.0
sd21,judge,asian,15,100,15.0
sd21,judge,black,4,100,4.0
sd21,judge,latino hispanic,4,100,4.0
sd21,judge,middle eastern,9,100,9.0
sd21,judge,white,68,100,68.0
sd21,librarian,asian,27,100,27.0
sd21,librarian,black,5,100,5.0
sd21,librarian,latino hispanic,10,100,10.0
sd21,librarian,middle eastern,1,100,1.0
sd21,librarian,white,57,100,57.0
sd21,mechanic,asian,23,100,23.0
sd21,mechanic,black,4,100,4.0
sd21,mechanic,indian,2,100,2.0
sd21,mechanic,latino hispanic,2,100,2.0
sd21,mechanic,middle eastern,15,100,15.0
sd21,mechanic,white,54,100,54.0
sd21,nurse,asian,4,100,4.0
sd21,nurse,black,11,100,11.0
sd21,nurse,indian,1,100,1.0
sd21,nurse,latino hispanic,12,100,12.0
sd21,nurse,middle eastern,5,100,5.0
sd21,nurse,white,67,100,67.0
sd21,pilot,asian,21,100,21.0
sd21,pilot,black,8,100,8.0
